18 digit Property ID,ARC Program: ID,ARC Program: Program ID,Billing Code (AccPac),Operations Region,Property Name (formula),SEO Cost,Program Official Start,UA Code,View ID,Current Property Owner,Units
a078000000QogphAAB,a2i2E0000053bmy,PGM-85089,2033,Southern California,Vineyards at Paseo Del Sol,300,2/28/2019,UA-67061102-1,172031627,LivCor,288
a072E00000Wu7qLQAR,a2i2E0000053Utf,PGM-81801,1965,Southern California,Ironwood (South),300,11/9/2018,UA-93239903-40,184773339,Crow Holdings,260
a072E00000Wu7qQQAR,a2i2E0000053UuW,PGM-81854,1964,Southern California,Capriana at Chino Hills,300,11/9/2018,UA-93239903-41,184881162,Invesco Realty Advisors,286
a078000000WpLmpAAF,a2i800000054gxU,PGM-79729,1924,Southern California,The Tower at Hollywood Hills,300,9/27/2018,UA-93239903-30,181636567,Clarion Partners,80
a078000000WpLmQAAV,a2i800000053NCR,PGM-79941,1923,Southern California,Crescent Park at Playa Vista,600,10/3/2018,UA-93239903-32,183154000,Clarion Partners,214
a078000000PgRZGAA3,a2i80000003UFj0,PGM-71369,1259,Southern California,Sway,300,12/15/2015,UA-60322808-1,188061058,Prudential,122
a078000000QE45aAAD,a2i800000053Qqp,PGM-80897,1949,Southern California,Fusion,600,11/7/2018,UA-91327653-34,185414586,Olympus Properties,280
a078000000Qru8vAAB,a2i2E0000053bnt,PGM-85141,2032,Southern California,Villas at Towngate,300,2/28/2019,UA-74965934-1,163162799,LivCor,394
a078000000WV7BiAAL,a2i80000003Uzpi,PGM-77767,1904,Southern California,nVe Fairfax,600,8/22/2018,UA-93239903-31,182493154,The Carlyle Group,63
a078000000VGA6RAAX,a2i80000003UDkr,PGM-70844,1831,Southern California,IDEA 1,300,4/2/2018,UA-93239903-19,175525969,Lowe Enterprises Real Estate Group,295
a0780000003RypyAAC,a2i80000003TnJc,PGM-64276,1783,Southwest,Broadstone Flamingo West,300,12/8/2017,UA-28080357-1,172008434,Blackstone Group,324
a078000000OzAA2AAN,a2i80000003UWRO,PGM-74325,1884,Southwest,Adobe Ridge,300,6/21/2018,UA-52402494-1,178741168,Aukum,224
a078000000UPvx5AAD,a2i80000003TdAu,PGM-62042,1773,Southwest,Avalon,300,12/28/2017,UA-86860765-13,186588819,"Pathfinder Partners, LLC",117
a078000000Wu5weAAB,a2i800000053UMr,PGM-81641,1968,Southwest,Dorsey Place,300,11/26/2018,UA-107271747-19,185534450,"Pathfinder Partners, LLC",90
a078000000VEGnaAAH,a2i80000003TlnX,PGM-64193,1793,Southwest,Village at Aspen Place,300,1/19/2018,UA-107271747-9,189964963,Van Trust (VT) Inc.,222
a078000000VD7KTAA1,a2i80000003Tbho,PGM-60472,1767,Southwest,Ascend at Kierland,300,10/26/2017,UA-107271747-4,189952149,The Bascom Group,364
