,latitude,longitude,sessions,zip,Formatted Address
90,32.8140,-96.9489,1,75060,"Irving, TX 75060, USA"
91,32.8550,-96.7976,1,75225,"Dallas, TX 75225, USA"
92,32.8579,-97.2547,1,76148,"Watauga, TX 76148, USA"
93,32.8882,-84.3266,2,30286,"Thomaston, GA 30286, USA"
94,32.9126,-96.6389,3,75040,"Garland, TX 75040, USA"
95,32.9265,-96.8961,1,75234,"Dallas, TX 75234, USA"
96,32.9343,-97.0781,1,76051,"Grapevine, TX 76051, USA"
97,32.9483,-96.7299,2,75081,"Richardson, TX 75081, USA"
98,32.9756,-96.8900,2,75006,"Carrollton, TX 75006, USA"
99,33.0546,-84.1558,3,30204,"Barnesville, GA 30204, USA"
100,33.0957,-80.3154,1,29472,"Ridgeville, SC 29472, USA"
101,33.1023,-84.3427,1,30295,"Zebulon, GA 30295, USA"
102,33.1507,-96.8236,5,75034,"Frisco, TX 75034, USA"
103,33.1959,-117.3795,2,92054,"Oceanside, CA 92054, USA"
104,33.2362,-96.8011,1,75078,"Prosper, TX 75078, USA"
105,33.2468,-84.2641,1,30223,"Griffin, GA 30223, USA"
106,33.4054,-86.8114,12,35226,"Birmingham, AL 35226, USA"
107,33.4152,-111.8315,4,85201,"Mesa, AZ 85201, USA"
108,33.4255,-111.9400,24,85281,"Tempe, AZ 85281, USA"
109,33.4332,-79.1214,1,29585,"LITCHFIELD, SC 29585, USA"
110,33.4484,-112.0740,46,85004,"Phoenix, AZ 85004, USA"
111,33.4735,-82.0105,2,30904,"Augusta, GA 30904, USA"
112,33.4936,-117.1484,1,92590,"Temecula, CA 92590, USA"
113,33.4942,-111.9261,8,85251,"Scottsdale, AZ 85251, USA"
114,33.4957,-88.4273,1,39701,"Columbus AFB, MS 39701, USA"
115,33.5186,-86.8104,6,35203,"Birmingham, AL 35203, USA"
116,33.5801,-85.0766,1,30117,"Carrollton, GA 30117, USA"
117,33.5806,-112.2374,2,85345,"Peoria, AZ 85345, USA"
118,33.5929,-79.0086,3,29576,"Murrells Inlet, SC 29576, USA"
119,33.6042,-111.7257,1,85268,"Scottsdale, AZ 85268, USA"
120,33.6102,-117.7251,1,92637,"Laguna Hills, CA 92637, USA"
121,33.6189,-117.9289,1,92663,"Newport Beach, CA 92663, USA"
122,33.6198,-86.6089,1,35173,"Trussville, AL 35173, USA"
123,33.6221,-84.3691,1,30297,"GILLEM ENCLAVE, GA 30297, USA"
124,33.6292,-112.3679,1,85374,"Sun City, AZ 85374, USA"
125,33.6412,-117.9188,1,92627,"Costa Mesa, CA 92627, USA"
126,33.6595,-117.9988,2,92648,"Huntington Beach, CA 92648, USA"
127,33.6796,-84.4394,2,30344,"East Point, GA 30344, USA"
128,33.6839,-117.7947,1,92604,"Irvine, CA 92604, USA"
129,33.6891,-78.8867,1,29577,"Myrtle Beach, SC 29577, USA"
130,33.7423,-84.1593,3,30058,"Lithonia, GA 30058, USA"
131,33.7455,-117.8676,4,92701,"Santa Ana, CA 92701, USA"
132,33.7475,-116.9720,13,92543,"Hemet, CA 92543, USA"
133,33.7490,-84.3880,53,30334,"Atlanta, GA 30334, USA"
134,33.7515,-84.7477,1,30134,"Douglasville, GA 30134, USA"
135,33.7904,-84.3060,2,30033,"Decatur, GA 30033, USA"
136,33.8168,-84.3133,2,30329,"Atlanta, GA 30329, USA"
137,33.8390,-83.9007,1,30052,"Loganville, GA 30052, USA"
138,33.8704,-117.9242,12,92832,"Fullerton, CA 92832, USA"
139,33.8711,-117.8628,1,92870,"Placentia, CA 92870, USA"
140,33.8753,-117.5664,2,92879,"Corona, CA 92879, USA"
141,33.8840,-84.5144,15,30080,"Smyrna, GA 30080, USA"
142,33.8901,-84.1430,1,30047,"Lilburn, GA 30047, USA"
143,33.8982,-84.2833,1,30340,"Atlanta, GA 30340, USA"
144,33.9192,-118.4165,1,90245,"El Segundo, CA 90245, USA"
145,33.9304,-84.3733,3,30328,"Atlanta, GA 30328, USA"
146,33.9500,-83.3833,1,30602,"Athens, GA 30602, USA"
147,33.9761,-117.9053,1,91748,"ROWLAND HGHTS, CA 91748, USA"
148,33.9806,-117.3755,1,92501,"Riverside, CA 92501, USA"
149,34.0195,-118.4912,1,90401,"Santa Monica, CA 90401, USA"
150,34.0522,-118.2437,40,90012,"Los Angeles, CA 90012, USA"
151,34.0736,-118.4004,1,90210,"Beverly Hills, CA 90210, USA"
152,34.1008,-117.7678,1,91750,"La Verne, CA 91750, USA"
153,34.1064,-117.5931,1,91730,"Rancho Cucamonga, CA 91730, USA"
154,34.1398,-118.3506,1,91602,"North Hollywood, CA 91602, USA"
155,34.1533,-118.7617,1,91301,"Calabasas, CA 91301, USA"
156,34.1975,-119.1770,1,93030,"Oxnard, CA 93030, USA"
157,34.2284,-92.0032,1,71601,"Pine Bluff, AR 71601, USA"
158,34.4165,-79.3712,1,29536,"Floydale, SC 29536, USA"
159,34.5026,-84.9510,1,30701,"Calhoun, GA 30701, USA"
160,34.7204,-80.7709,1,29720,"Lancaster, SC 29720, USA"
161,34.7371,-82.2543,4,29681,"Simpsonville, SC 29681, USA"
162,34.7465,-92.2896,1,72201,"Little Rock, AR 72201, USA"
163,34.8526,-82.3940,1,29601,"Greenville, SC 29601, USA"
164,34.8854,-82.4560,2,29617,"Greenville, SC 29617, USA"
165,34.9249,-81.0251,1,29730,"Rock Hill, SC 29730, USA"
166,35.0074,-80.9451,1,29715,"Fort Mill, SC 29715, USA"
167,35.0527,-78.8784,5,28301,"E FAYETTEVLLE, NC 28301, USA"
168,35.0844,-106.6504,22,87102,"Albuquerque, NM 87102, USA"
169,35.1495,-90.0490,8,38103,"Memphis, TN 38103, USA"
170,35.1983,-111.6513,2,86001,"Flagstaff, AZ 86001, USA"
171,35.2226,-97.4395,3,73069,"Norman, OK 73069, USA"
172,35.2271,-80.8431,30,28280,"Charlotte, NC 28280, USA"
173,35.2306,-89.7404,1,38002,"Arlington, TN 38002, USA"
174,35.4495,-97.3967,1,73110,"Oklahoma City, OK 73110, USA"
175,35.4799,-79.1803,1,27330,"Sanford, NC 27330, USA"
176,35.4993,-80.8487,1,28036,"Davidson, NC 28036, USA"
177,35.5067,-97.7626,1,73099,"Yukon, OK 73099, USA"
